"CDX.EM.12","Untranched","Off","3,608,091,400","174","157,000,000","17","3,765,091,400","191",
"CDX.EM.13","Untranched","Off","15,508,656,000","1,260","2,081,787,500","61","17,590,443,500","1,321",
"CDX.EM.14","Untranched","Off","17,105,354,074","1,031","489,148,000","45","17,594,502,074","1,076",
"CDX.EM.15","Untranched","Off","12,180,693,380","826","468,926,810","29","12,649,620,190","855",
"CDX.EM.16","Untranched","Off","12,913,530,226","671","4,264,431,600","210","17,177,961,826","881",
"CDX.EM.17","Untranched","Off","15,148,398,834","1,246","4,669,913,598","257","19,818,312,432","1,503",
"CDX.EM.8","Untranched","Off","3,482,534,495","136","535,000,000","25","4,017,534,495","161",
"CDX.EM.9","Untranched","Off","10,822,493,295","195","237,000,000","23","11,059,493,295","218",
"CDX.NA.HY.10","Tranched","Off","45,297,326,600","1,022","4,596,486,000","242","49,893,812,600","1,264",
"CDX.NA.HY.10","Untranched","Off","45,994,748,648","545","16,946,741,133","71","62,941,489,781","616",
"CDX.NA.HY.11","Tranched","Off","10,839,777,900","328","1,390,177,037","104","12,229,954,937","432",
"CDX.NA.HY.11","Untranched","Off","19,440,304,201","181","12,858,054,201","54","32,298,358,402","235",
"CDX.NA.HY.12","Untranched","Off","7,280,096,231","44","6,835,096,231","27","14,115,192,462","71",
"CDX.NA.HY.13","Untranched","Off","7,013,621,000","63","5,752,321,000","42","12,765,942,000","105",
"CDX.NA.HY.14","Untranched","Off","24,093,460,600","136","15,296,926,800","52","39,390,387,400","188",
"CDX.NA.HY.15","Tranched","Off","18,244,600,000","816","2,015,100,000","113","20,259,700,000","929",
"CDX.NA.HY.15","Untranched","Off","34,468,528,648","361","23,032,995,676","205","57,501,524,324","566",
"CDX.NA.HY.16","Untranched","Off","22,974,014,236","431","18,117,567,968","294","41,091,582,204","725",
"CDX.NA.HY.17","Tranched","Off","1,723,500,000","88","145,000,000","6","1,868,500,000","94",
"CDX.NA.HY.17","Untranched","Off","36,282,470,905","794","25,346,474,182","514","61,628,945,087","1,308",
"CDX.NA.HY.8","Tranched","Off","10,273,793,104","225","20,000,000","2","10,293,793,104","227",
"CDX.NA.HY.8","Untranched","Off","9,815,272,573","116","0","0","9,815,272,573","116",
"CDX.NA.HY.9","Tranched","Off","35,309,240,605","747","700,747,600","45","36,009,988,205","792",
"CDX.NA.HY.9","Untranched","Off","32,588,869,145","160","25,573,596,855","77","58,162,466,000","237",
"CDX.NA.IG.HVOL.10","Untranched","Off","2,709,800,925","31","1,962,624,124","24","4,672,425,049","55",
"CDX.NA.IG.HVOL.11","Untranched","Off","2,590,466,668","27","1,788,466,668","10","4,378,933,336","37",
